type,source_id,source,unassigned_works
other,S4306401458,CBS Research Portal (Copenhagen Business School),3102
other,S4377196406,KeiO Associated Repository of Academic Resources (Keio University),3100
other,S4377196484,BURJC Digital (King Juan Carlos University),3087
other,S4306401454,Kyoto University Research Information Repository (Kyoto University),3082
dataset,S7407052401,Cellular Senescence Network (SenNet),3061
article,S194384443,Kanzo,3056
other,S4306400078,SUNY Digital Repository Support (State University of New York System),3050
other,S7407051627,National Technical University of Athens (NTUA),3036
other,S4306401026,Industrias Culturais (Universidade de Coimbra),3026
article,S2927652741,Journal of Education,3022
paratext,S4306464152,University of Calgary Press eBooks,3011
other,S4306401937,Digital Education Resource Archive (University College London),3009
article,S140302479,Bulletin of the American Meteorological Society,3006
article,S4210172978,Books Abroad,2993
article,S118610483,Journal of Nippon Medical School,2990
report,S7407064446,NORA - Norwegian Open Research Archives,2985
article,S4210237421,Shokubutsugaku Zasshi,2981
article,S4306400396,Electronic Kyiv-Mohyla Academy Institutional Repository (National University of Kyiv-Mohyla Academy),2964
other,S4377196954,Research Exchange (Washington State University),2955
other,S4306401436,Archive of European Integration (AEI) (University of Pittsburgh),2945
article,S4210168923,土木学会論文集B2(海岸工学),2928
paratext,S4306490536,UNP - Nebraska eBooks,2924
article,S2764910039,Journal of the Meteorological Society of Japan Ser II,2904
other,S4306402384,OpenBU (Boston University),2895
paratext,S4306464240,Verlag Barbara Budrich eBooks,2884
article,S4306401983,Research at the University of Copenhagen (University of Copenhagen),2864
article,S4377196546,Electronic Library of Belarusian State Technological University (Belarusian State Technological University),2858
article,S4377196662,Faculty Digital Archive (New York University Florence),2847
other,S4377196928,Virtual Defense Library (Ministerio de Defensa),2839
paratext,S4306402641,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),2837
article,S4210221959,Gulf Coast Association of Geological Societies,2801
report,S4306402521,University of Minnesota Digital Conservancy (University of Minnesota),2799
article,S4406923062,Репозиторий БГУИР (BSUIR Repository),2797
paratext,S181332294,Physical Chemistry Chemical Physics,2796
article,S196210972,Indiana University Mathematics Journal,2791
paratext,S4306464215,University Press of Mississippi eBooks,2790
article,S2913123441,The Japanese Journal of Ergonomics,2788
article,S4306402258,"Electronic Institutional Repository of the National Aviation University of Ukraine (National Aviation University, Ukraine)",2762
paratext,S4306463404,I.B.Tauris eBooks,2744
dataset,S7407053157,SciELO - Scientific Electronic Library Online Dataverse,2743
paratext,S174911965,Archiv der Pharmazie,2738
paratext,S4306464195,University of South Carolina Press eBooks,2732
paratext,S4306463018,Channel View Publications eBooks,2721
paratext,S4306464225,Utah State University Press eBooks,2710
article,S4210236005,Industrial & Engineering Chemistry,2709
paratext,S207178839,Journal of Geophysical Research Atmospheres,2694
paratext,S166159787,Dalton Transactions,2673
other,S7407060180,NASA Life Sciences Portal,2672
other,S4306401622,Minds at UW (University of Wisconsin),2669
other,S7407051238,e-rara.ch,2658
article,S137773608,Nature,2652
other,S4306400934,Repository of Vinnytsia National Technical University (Vinnytsia National Technical University),2651
article,S93676754,The Modern Language Review,2650
paratext,S4306463729,Peeters Publishers eBooks,2649
report,S4306401050,The Portal to Texas History (University of North Texas),2648
article,S2764359438,Nihon Kessho Gakkaishi,2645
paratext,S4363604161,Boletín Oficial del Obispado de Salamanca,2641
other,S4306402433,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",2625
other,S4377196575,INSTITUTIONAL REPOSITORY OF ODESSA NATIONAL UNIVERSITY NAMED I.I. Mechnykova (Odesa I.I.Mechnikov National University),2608
article,S4210196937,Journal of Structural and Construction Engineering (Transactions of AIJ),2580
article,S109361689,The American Journal of the Medical Sciences,2575
dataset,S4363604103,Jacoby Online,2567
article,S36068028,JAPAN TAPPI JOURNAL,2565
paratext,S4306462838,Anthem Press eBooks,2543
paratext,S4306463705,Oxbow Books,2536
dataset,S7407051764,European Synchrotron Radiation Facility,2511
article,S4210202639,Journal of the Society of Chemical Industry,2509
other,S4406922393,HAL AMU,2499
other,S7407064445,SIE - Sistema de Información Ambiental (CAR Cundinamarca),2499
article,S2911945309,Journal of the Japan Veterinary Medical Association,2486
paratext,S4306463009,Central European University Press eBooks,2479
other,S4306402089,University of Debrecen Electronic Archive (University of Debrecen),2478
article,S4210218965,Journal of the Japan Society of Precision Engineering,2474
article,S2764775439,The Journal of the Geological Society of Japan,2464
other,S4377196361,Digital Library of the Belarusian State University (Belarusian State University),2461
paratext,S4306464007,The University Press of Kentucky eBooks,2460
other,S7407050552,Archaeological Map of the Czech Republic - IGSN Catalog,2455
article,S4210172156,The journal of the Japanese Practical Surgeon Society,2452
paratext,S4306488747,1517 Media eBooks,2447
other,S4377196605,San Andres Digital Repository  (University of San Andrés),2446
article,S150314616,The Annals of the American Academy of Political and Social Science,2432
article,S4210185465,Bulletin des Médecins Suisses,2430
article,S4306547168,The Journal of The Institute of Image Information and Television Engineers,2429
article,S88836445,AIJ Journal of Technology and Design,2426
paratext,S4306462957,Boydell & Brewer eBooks,2393
other,S4377196410,NSUWorks (Nova Southeastern University),2388
other,S4306401816,Universidad de Córdoba Insitutional Repository (Universidad de Córdoba),2373
paratext,S4377196272,Digital Commons - University of South Florida (University of South Florida),2370
dataset,S7407064132,Reciprocalnet.org,2369
paratext,S182211142,Methods in enzymology on CD-ROM/Methods in enzymology,2365
report,S4306400387,Trinity's Access to Research Output (TARA) (Trinity College Dublin),2361
other,S7407053378,ConfIDent,2361
report,S4377196267,Institutional Archive of Ifremer (French Research Institute for Exploitation of the Sea),2360
dataset,S4363604086,SciVee,2357
article,S4306401345,Seoul National University Open Repository (Seoul National University),2354
paratext,S41354064,ChemInform,2337
other,S4363604067,Sax's Dangerous Properties of Industrial Materials,2327
dataset,S4363604087,Collected Courses of the Hague Academy of International Law,2318
other,S4306401924,Kobe University Repository Kernel (Kobe University),2304
article,S7407055263,Neliti,2296
dataset,S7407053272,Vivli,2289
other,S4306400952,Calhoun: The Naval Postgraduate School Institutional Archive (Naval Postgraduate School),2287
article,S4210188702,Nursing,2283
article,S114875548,Journal of Information Processing and Management,2279
article,S7407052752,Electronic Library of Peter the Great Polytechnic University,2272
other,S4377196262,UPCommons institutional repository (Universitat Politècnica de Catalunya),2270
dataset,S7407050910,Cifra LLC Journals,2269
other,S4306505753,Catalysis from A to Z,2268
article,S198339081,Electrochimica Acta,2260
other,S7407064432,DalSpace (Dalhousie University),2256
article,S4210240624,Bibliotheksdienst,2240
paratext,S179810352,Organic & Biomolecular Chemistry,2239
paratext,S4306463780,Presses de l'Université Laval eBooks,2231
article,S4406922298,Electronic Library Belinsky,2228
dataset,S7407051746,Centre de données socio-politiques,2224
dataset,S4363604153,The Daily Worker Online,2197
dataset,S7407051081,4TU.ResearchData,2195
